Facility Name,Facility ID,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Number of Readmissions,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Number of Completed Surveys,Survey Response Rate Percent
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-PN-HRRP,653.0,0.9823,101,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-PN-HRRP,653.0,0.9823,101,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-PN-HRRP,653.0,0.9823,101,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,2.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-PN-HRRP,653.0,0.9823,101,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-PN-HRRP,653.0,0.9823,101,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-PN-HRRP,653.0,0.9823,101,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-PN-HRRP,653.0,0.9823,101,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-PN-HRRP,653.0,0.9823,101,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-PN-HRRP,653.0,0.9823,101,H_STAR_RATING,Summary star rating,Summary star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-HF-HRRP,976.0,1.0191,198,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-HF-HRRP,976.0,1.0191,198,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-HF-HRRP,976.0,1.0191,198,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,2.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-HF-HRRP,976.0,1.0191,198,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-HF-HRRP,976.0,1.0191,198,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-HF-HRRP,976.0,1.0191,198,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-HF-HRRP,976.0,1.0191,198,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-HF-HRRP,976.0,1.0191,198,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-HF-HRRP,976.0,1.0191,198,H_STAR_RATING,Summary star rating,Summary star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-COPD-HRRP,160.0,0.963,28,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-COPD-HRRP,160.0,0.963,28,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-COPD-HRRP,160.0,0.963,28,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,2.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-COPD-HRRP,160.0,0.963,28,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-COPD-HRRP,160.0,0.963,28,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-COPD-HRRP,160.0,0.963,28,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-COPD-HRRP,160.0,0.963,28,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-COPD-HRRP,160.0,0.963,28,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-COPD-HRRP,160.0,0.963,28,H_STAR_RATING,Summary star rating,Summary star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-AMI-HRRP,210.0,0.9131,20,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-AMI-HRRP,210.0,0.9131,20,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-AMI-HRRP,210.0,0.9131,20,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,2.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-AMI-HRRP,210.0,0.9131,20,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-AMI-HRRP,210.0,0.9131,20,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-AMI-HRRP,210.0,0.9131,20,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-AMI-HRRP,210.0,0.9131,20,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-AMI-HRRP,210.0,0.9131,20,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4.0,571.0,23.0
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-AMI-HRRP,210.0,0.9131,20,H_STAR_RATING,Summary star rating,Summary star rating,3.0,571.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-PN-HRRP,876.0,1.0739,147,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-PN-HRRP,876.0,1.0739,147,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-PN-HRRP,876.0,1.0739,147,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,2.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-PN-HRRP,876.0,1.0739,147,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-PN-HRRP,876.0,1.0739,147,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-PN-HRRP,876.0,1.0739,147,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-PN-HRRP,876.0,1.0739,147,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-PN-HRRP,876.0,1.0739,147,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-PN-HRRP,876.0,1.0739,147,H_STAR_RATING,Summary star rating,Summary star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HIP-KNEE-HRRP,165.0,1.0352,11,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HIP-KNEE-HRRP,165.0,1.0352,11,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HIP-KNEE-HRRP,165.0,1.0352,11,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,2.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HIP-KNEE-HRRP,165.0,1.0352,11,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HIP-KNEE-HRRP,165.0,1.0352,11,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HIP-KNEE-HRRP,165.0,1.0352,11,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HIP-KNEE-HRRP,165.0,1.0352,11,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HIP-KNEE-HRRP,165.0,1.0352,11,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HIP-KNEE-HRRP,165.0,1.0352,11,H_STAR_RATING,Summary star rating,Summary star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HF-HRRP,1324.0,1.0076,260,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HF-HRRP,1324.0,1.0076,260,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HF-HRRP,1324.0,1.0076,260,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,2.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HF-HRRP,1324.0,1.0076,260,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HF-HRRP,1324.0,1.0076,260,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HF-HRRP,1324.0,1.0076,260,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HF-HRRP,1324.0,1.0076,260,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HF-HRRP,1324.0,1.0076,260,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-HF-HRRP,1324.0,1.0076,260,H_STAR_RATING,Summary star rating,Summary star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-COPD-HRRP,373.0,0.9969,63,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-COPD-HRRP,373.0,0.9969,63,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-COPD-HRRP,373.0,0.9969,63,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,2.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-COPD-HRRP,373.0,0.9969,63,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-COPD-HRRP,373.0,0.9969,63,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-COPD-HRRP,373.0,0.9969,63,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-COPD-HRRP,373.0,0.9969,63,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-COPD-HRRP,373.0,0.9969,63,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-COPD-HRRP,373.0,0.9969,63,H_STAR_RATING,Summary star rating,Summary star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-CABG-HRRP,140.0,0.9904,15,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-CABG-HRRP,140.0,0.9904,15,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-CABG-HRRP,140.0,0.9904,15,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,2.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-CABG-HRRP,140.0,0.9904,15,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-CABG-HRRP,140.0,0.9904,15,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-CABG-HRRP,140.0,0.9904,15,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-CABG-HRRP,140.0,0.9904,15,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-CABG-HRRP,140.0,0.9904,15,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-CABG-HRRP,140.0,0.9904,15,H_STAR_RATING,Summary star rating,Summary star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-AMI-HRRP,491.0,1.0044,61,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-AMI-HRRP,491.0,1.0044,61,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-AMI-HRRP,491.0,1.0044,61,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,2.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-AMI-HRRP,491.0,1.0044,61,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-AMI-HRRP,491.0,1.0044,61,H_CLEAN_STAR_RATING,Cleanliness - star rating,Cleanliness - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-AMI-HRRP,491.0,1.0044,61,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-AMI-HRRP,491.0,1.0044,61,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,3.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-AMI-HRRP,491.0,1.0044,61,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,4.0,1022.0,23.0
WINCHESTER MEDICAL CENTER,490005,VA,READM-30-AMI-HRRP,491.0,1.0044,61,H_STAR_RATING,Summary star rating,Summary star rating,3.0,1022.0,23.0
